Project_Key,Project_Name,Department,Classification_Method,Baseline_Year,Baseline_Start_Date,Baseline_End_Date,Planned_Duration_Days,Baseline_IPA_RAG,Baseline_WLC_GBPm,Baseline_FY_Cost_GBPm,Latest_Year,Latest_End_Date,Latest_IPA_RAG,N_Years_Observed,Slippage_Days,Delayed,Label_Method
broadband delivery programme,Broadband Delivery Programme,DCMS,"Keyword Match (pre-2018, no Category field)",2013,2010-12-06,2016-12-31,2217.0,Unknown,529.0,,2017,2020-12-31,Amber/Green,5,1461.0,1.0,Schedule Slippage (>=2 valid annual observations)
"brownfield, infrastructure & land (bil)","Brownfield, Infrastructure & Land (BIL)",MHCLG,Official Category,2024,2023-07-24,,,Amber,1497.79,275.58,2024,,Amber,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
building our future locations programme,Building Our Future Locations Programme,HMRC,"Keyword Match (pre-2018, no Category field)",2016,2016-01-05,2021-04-05,1917.0,Amber/Red,2099.3,310.2,2017,2026-03-31,Amber,2,1821.0,1.0,Schedule Slippage (>=2 valid annual observations)
building safety programme -  non acm remediation,Building Safety Programme -  Non ACM Remediation,MHCLG,Official Category,2021,2020-03-11,2023-03-31,1115.0,Amber/Red,1026.03,387.03,2022,2027-12-31,Red,2,1736.0,1.0,Schedule Slippage (>=2 valid annual observations)
building safety programme acm remediation,Building Safety Programme ACM Remediation,MHCLG,Official Category,2021,2017-06-15,2022-06-30,1841.0,Amber/Green,589.3,170.4,2022,2022-06-30,Green,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
building schools for the future (bsf),Building Schools for the Future (BSF),DFE,"Keyword Match (pre-2018, no Category field)",2013,2004-04-01,2017-07-02,4840.0,Unknown,6302.0,,2014,2017-07-02,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
ccus,CCUS,DESNZ,Official Category,2020,2020-04-01,2030-12-31,3926.0,Unknown,43.0,43.0,2023,2030-12-31,Unknown,3,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
carbon storage research facility (csrf),Carbon Storage Research Facility (CSRF),DSIT,Official Category,2023,2020-09-30,2028-09-30,2922.0,Unknown,315.0,0.8,2023,2028-09-30,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
crossrail,Crossrail,DFT,"Keyword Match (pre-2018, no Category field)",2013,2008-07-22,2019-12-31,4179.0,Unknown,14518.98,,2014,2019-12-31,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
crossrail programme,Crossrail Programme,DFT,"Keyword Match (pre-2018, no Category field)",2015,2008-07-22,2019-12-31,4179.0,Unknown,14768.87,,2023,2023-05-14,Unknown,6,1230.0,1.0,Schedule Slippage (>=2 valid annual observations)
dcms_0008_1516-q4,DCMS_0008_1516-Q4,DCMS,Official Category,2019,2015-04-01,2023-03-31,2921.0,Amber/Green,210.24,77.7,2019,2023-03-31,Amber/Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
dcms_0009_1516-q4,DCMS_0009_1516-Q4,DCMS,Official Category,2019,2015-01-13,2022-01-01,2545.0,Amber/Green,595.0,156.0,2019,2022-01-01,Amber/Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
dcms_0010_1718-q3,DCMS_0010_1718-Q3,DCMS,Official Category,2019,2017-04-01,2021-12-01,1705.0,Red,321.1,132.4,2019,2021-12-01,Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
